position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
61_0	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161492275085475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Ele já chegou. Está a viver em casa do Mamadou."	2019-01-25T17:57:52+0000	0		
61_1	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161492278405475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Kasamento em direkto no programa do Goucha?"	2019-01-25T17:59:28+0000	0		
61_2	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161492251495475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Novo assessor do Bloko? Kontratação milionária do merkado de Inverno por troka kom Mamadou? Asilo polítiko? Vai fikar numa das kasaS da Katarina ou do Robles?"	2019-01-25T17:52:07+0000	1		
61_3	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161492259670475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Podes crer. A única diferença é que este não é islamita radical. É só maconheiro, assumido."	2019-01-25T17:53:18+0000	2		
61_4	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161491995565475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Mais um mamadu a se fazer de vitima"	2019-01-25T16:24:50+0000	18		
61_5	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161492033365475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Francisco Vicente  Portugal."	2019-01-25T16:40:36+0000	0		
61_6	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161492110455475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Dália Gonçalves duvido, porque se tiver mandato internacional, Portugal pode o extraditar"	2019-01-25T17:07:44+0000	0		
61_7	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161492002755475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Este é dos que ameaça cospe e distribuir ódio por todos , teve que fugir? Imagino onde deve andar metido.."	2019-01-25T16:27:48+0000	10		
61_8	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161492079660475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Vai fugir porque ele perdeu o fórum previlegiado e pode ir preso a qualquer momento, já sabem que foi ele que mandou matar o bolsonaro ele é o mandante agora corre da polícia"	2019-01-25T16:56:13+0000	0		
61_9	469974510474_10161491403995475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T16:15:00+0000	10161491403995475_10161492119625475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Hortense Martins fugiu, muitos estão dizendo que foi ele que mandou matar o presidente do Brasil"	2019-01-25T17:11:26+0000	1		
