position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count	attachment_type	attachment_url		
23_0	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454655980475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Solange Rodrigues essa é boa 😂😂😂"	2019-01-15T20:38:45+0000	0		
23_1	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454722115475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Solange Rodrigues 😂😂"	2019-01-15T20:59:06+0000	0		
23_2	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454543525475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Agradeço que façam comentários curtos porque estou a tentar ler todos... Obrigado.😋😋"	2019-01-15T20:06:44+0000	15		
23_3	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454546155475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Vitor Casadinho esse comentário tá um espectáculo kkkk"	2019-01-15T20:07:32+0000	2		
23_4	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454759560475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Comentário do dia. 👑"	2019-01-15T21:08:18+0000	2		
23_5	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454841655475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Joaquim Santos pedi a tua opinião ?"	2019-01-15T21:26:32+0000	0		
23_6	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454853780475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Vitor Casadinho só disse tá a maneira companheiro"	2019-01-15T21:29:33+0000	1		
23_7	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161456298390475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Tirou palavras, que eu nao encontrava no meu vocabulario!   Comentario de 2019, essa vai comigo ate dois mil e etc..."	2019-01-16T06:41:41+0000	0		
23_8	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454465540475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Tanto chumbo que se perde na caça..."	2019-01-15T19:44:23+0000	45		
23_9	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454495815475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Que horror ☻ Ao ponto que o ser humano chega. Devia de gastar a fortuna para modificar o cérebro,isso sim era um bom investimento 👍"	2019-01-15T19:53:05+0000	18		
23_10	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454827685475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Dragão?🤔 Parece que saiu do urban á biqueirada na tromba...😵"	2019-01-15T21:23:03+0000	6		
23_11	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454722890475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Pelo menos o namorado está descansado, ela já tem cornos e tem! 🤣🤣🤣"	2019-01-15T20:59:22+0000	3		
23_12	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454538980475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Mãe e pai fazem muita falta, mas o juizinho faz muito mais...😫😫😟"	2019-01-15T20:05:31+0000	7		
23_13	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454643330475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Não bastava ser transgênero, 🤔 e ainda por cima quer ser um dragão!🤦"	2019-01-15T20:34:37+0000	2		
23_14	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161455334535475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Sensualidade M ela* é uma dragoa"	2019-01-15T23:55:21+0000	0		
23_15	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454445935475	50c742f13c3c547dbd2b397f1a4749d00b20bea7	0	"Sempre ouve seres humanos com grandes pancadas..este quer superar todos por mimpode ser dragao.......lagartixa... ou Sapo... que coma borboletas,,, minhocas..moscas .. .... Se lhe dessem mas era um injecao de ortigas talvez ele tivesse mais juizo..."	2019-01-15T19:38:41+0000	3		
23_16	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454627550475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Raul Figueiredo repara bem a foto 🙂 as unhas parece de uma águia 🙂 era uma boa mascote para outro clube qualquer , por acaso o porto já tem mascote 🙂"	2019-01-15T20:28:37+0000	3		
23_17	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454751290475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"nao pode ser mascote do fcporto porque ela é do benfica"	2019-01-15T21:05:49+0000	0		
23_18	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454764565475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Fernando Castro o porto tem mascote 🙂 e muito bonita 🙂"	2019-01-15T21:09:37+0000	0		
23_19	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454933035475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Em Nome dos Adeptos do Grande FC Porto agradecemos mais deixamos essa oferta para os encornados."	2019-01-15T21:51:56+0000	1		
23_20	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161455044860475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1		2019-01-15T22:26:02+0000	0		
23_21	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161455136225475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1		2019-01-15T22:58:38+0000	0		
23_22	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161455176695475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Emanuel Castilho incrível como todas as pessoas a responder aqui estiveram à altura da brincadeira, menos tu"	2019-01-15T23:14:11+0000	2		
23_23	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161456287030475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1		2019-01-16T06:32:31+0000	0		
23_24	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454446370475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Vai ser a mascote do FCP"	2019-01-15T19:38:46+0000	14		
23_25	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161455016770475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"moleirinha.....   :)"	2019-01-15T22:15:52+0000	0		
23_26	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454542040475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Nem sei quem bate mais mal da moleirinha ... a criatura ... ou quem lhe concedeu os ( arranjos ) ..."	2019-01-15T20:06:21+0000	4		
23_27	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454473915475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"As pessoas mais modificadas, existem no Facebook e foram aquelas q estudaram “na escola da vida”..."	2019-01-15T19:47:26+0000	1		
23_28	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161455014200475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	concordo.	2019-01-15T22:14:56+0000	0		
23_29	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454818505475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Se é a mais modificada não sei, mas que ta horrível não tenho dúvidas!"	2019-01-15T21:21:12+0000	2		
23_30	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161455146775475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Bem já vi um porco a andar de bicicleta agora só me falta ver um dragão a chupar uma piroca"	2019-01-15T23:02:42+0000	2		
23_31	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454750105475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"O BE devia lutar para que dragão seja uma opção de género no cartão de cidadão... aos 16 anos claro"	2019-01-15T21:05:28+0000	0		
23_32	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454611770475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Dass cada um com seu gosto mas esse até assusta 😲😲😲😲"	2019-01-15T20:24:15+0000	0		
23_33	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454616385475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Marisa Moreira e algo que não me incomoda os gostos das outras pessoas. Agora dizer que é transgénero isso duvido."	2019-01-15T20:25:35+0000	0		
23_34	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454453645475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Cada pessoa seus gostos. Mas ao ponto de fazer isto e ainda ser considerada transgénero um pouco estranho. Nunca vi nenhum transgénero fazer uma coisa destas."	2019-01-15T19:40:31+0000	1		
23_35	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454620640475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"João Afonso eu sou do porto mas gostei do que disse 🤣🤣🤣"	2019-01-15T20:26:48+0000	0		
23_36	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454440905475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Ela queria ficar parecida ao Dragão, mas infelizmente não cospe fogo"	2019-01-15T19:36:53+0000	0		
23_37	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454975590475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Coitada o cérebro é que ela devia de remover que é a parte do corpo  que está  a precisar de reparação com urgência"	2019-01-15T22:03:22+0000	0		
23_38	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161455099740475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Como sempre digo, a maior riqueza que podemos ter é a saúde... então a mental?? É o mais importante, sem essa, fazem-se cenas!! Mas há doentes e loucos este caso e de loucos!"	2019-01-15T22:46:29+0000	0		
23_39	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454803585475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Doidos pra tudo; e se calhar dinheiro pra jogar fora"	2019-01-15T21:17:44+0000	0		
23_40	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454589940475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Esse notícia já é antiga, isso tudo é frustração das audiências"	2019-01-15T20:17:57+0000	1		
23_41	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454449755475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0		2019-01-15T19:39:43+0000	12	animated_image_share	https://l.facebook.com/l.php?u=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2Fa2d2bccd617d82560a3fe715c134d904%2Ftenor.gif%3Fitemid%3D12630362&h=AT0RyAKJBkRvrsIg2i2uvLybsOym_2Bew6xXqLvOUDAzZaJ4MHro3L0zDM0qAZHrQdPbdi2CDrtiQlwQzR-Red3tHegLzM11yPTjM4K2GrHKGTM_gS48nJPwnKInf-w&s=1
23_42	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454919890475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"ela pode ser o que quiser, mas pelo amor do cacete guarda isso para ti e deixa de ser convencida..."	2019-01-15T21:48:07+0000	0		
23_43	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454518865475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"CM !!!! De tantas e da há tanto TEMPO que publicaram nxr2 a mesma ""noticia"" (cabeça a minha, claro que não) com a mesma roupa, já devia, no mínimo, precisar d'um banhito !!! 😇😇😇😇"	2019-01-15T20:00:08+0000	0		
23_44	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454987125475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"A combinação vencedora do Euromilhões, sorteada hoje, é composta pelos números 22 - 25 - 29 - 33 - 35 e pelas estrelas 03 e 06"	2019-01-15T22:07:21+0000	0		
23_45	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454674380475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Façam também uma marcha dos dragões com muito álcool e drogas, para ser mais normal 😅 unicórnios também podem entrar 😅😅"	2019-01-15T20:44:33+0000	0		
23_46	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161455246865475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Pra ser sincero, na minha humilde opinião, sem ofender ninguém que pense diferente em relação ao meu ponto de vista, mas também olhando para este assunto de uma perspectiva diferente e sem estar a condenar outras perspectivas, e a considerar todas as opiniões válidas, eu sinceramente acredito que me esqueci completamente do que ia dizer..."	2019-01-15T23:38:03+0000	0		
23_47	469974510474_10161454249850475	c992ae2630a5223d06b076adb833689225214a4e	"Mulher acredita ser a pessoa mais modificada do mundo"	2019-01-15T19:30:01+0000	10161454249850475_10161454648485475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Filho tanto guito gasto vinhas ao norte entravas num bairro a maluco es tolo ate a andar com andarilho ficavas só em ferro e parafusos fucavas o Robocop"	2019-01-15T20:36:36+0000	0		
